SAND_name,              name,               contains, 
ENVISAT,                ENVISAT,            ,
LANDSAT-5-TM,           LANDSAT-5,          ,
LANDSAT-7-ET,           LANDSAT-7,          ,
LANDSAT-8-OLI,          LANDSAT-8,          ,
SENTINEL-1,             SENTINEL-1,         ,
SENTINEL-1-RTC,         SENTINEL-1-RTC,     ,
SENTINEL-2-MSI,         SENTINEL-2,         MSI,
SENTINEL-3-OLCI-FR,     SENTINEL-3,         OLCI,
SENTINEL-3-OLCI-RR,     SENTINEL-3,         OLCI,
SENTINEL-5P-TROPOMI,    SENTINEL-5P,        ,
SENTINEL-6-HR,          SENTINEL-6,         ,
SENTINEL-6-LR,          SENTINEL-6,         ,
